timestamp;open;high;low;close;volume
2026-02-05 05:00:00;70730.171875;70835.75;70625.5703125;70835.75;179478528
2026-02-05 05:15:00;70715.9296875;70788.15625;70045.265625;70383.5078125;723959808
2026-02-05 05:30:00;70343.640625;70919.1796875;70266.984375;70896.0546875;2153488384
2026-02-05 05:45:00;70893.6796875;70893.6796875;70456.7734375;70544.9609375;3373547520
2026-02-05 06:00:00;70579.46875;70709.53125;70382.0546875;70540.515625;947470336
2026-02-05 06:15:00;70515.8671875;70623.078125;70322.6484375;70322.6484375;939245568
2026-02-05 06:30:00;70482.2578125;70809.6796875;70482.2578125;70799.546875;386514944
2026-02-05 06:45:00;70751.875;70806.7734375;70518.7421875;70787.046875;469139456
2026-02-05 07:00:00;70804.4375;71390.9296875;70804.4375;71035.6484375;693264384
2026-02-05 07:15:00;70976.296875;71392.6015625;70902.25;71382.2109375;733863936
2026-02-05 07:30:00;71297.2890625;71297.2890625;70854.3203125;70930.1640625;536674304
2026-02-05 07:45:00;70994.7265625;71026.625;70511.1640625;70511.1640625;704045056
2026-02-05 08:00:00;70567.3359375;70910.75;70567.3359375;70866.8046875;781606912
2026-02-05 08:15:00;70879.265625;71263.546875;70879.265625;71223.109375;1500209152
2026-02-05 08:30:00;71194.9765625;71358.1328125;71131.53125;71148.3203125;2464038912
2026-02-05 08:45:00;71144.484375;71144.484375;70940.1640625;71038.921875;187572224
2026-02-05 09:00:00;70908.0234375;71675.2890625;70908.0234375;71675.2890625;1629413376
2026-02-05 09:15:00;71714.5703125;71770.03125;71535.140625;71594.671875;352583680
2026-02-05 09:30:00;71620.203125;71630.9296875;71371.71875;71374.4765625;1291206656
2026-02-05 09:45:00;71356.3515625;71560.6484375;71350.65625;71408.4921875;1447583744
2026-02-05 10:00:00;71413.3125;71452.46875;71186.625;71290.625;1466531840
2026-02-05 10:15:00;71369.59375;71572.9609375;71335.2578125;71572.9609375;2156380160
2026-02-05 10:30:00;71581.5;71581.5;71306.9453125;71306.9453125;0
2026-02-05 10:45:00;71240.3203125;71240.3203125;70615.9375;70689.8359375;1244176384
2026-02-05 11:00:00;70730.5859375;70888.1171875;70628.890625;70628.890625;2218999808
2026-02-05 11:15:00;70610.453125;70787.3671875;69875.6015625;69875.6015625;431841280
2026-02-05 11:30:00;69936.90625;70551.34375;69936.90625;70439.4453125;1638752256
2026-02-05 11:45:00;70370.171875;70409.7421875;70108.59375;70168.015625;1201430528
2026-02-05 12:00:00;70200.3203125;70452.1171875;69928.71875;69989.59375;258236416
2026-02-05 12:15:00;69836.15625;69836.15625;69099.15625;69579.4609375;889561088
2026-02-05 12:30:00;69532.90625;69665.5078125;69191.765625;69191.765625;2752356352
2026-02-05 12:45:00;69218.828125;69585.0625;69161.890625;69455.5234375;2087444480
2026-02-05 13:00:00;69427.59375;69605.4296875;69335.0390625;69512.515625;999473152
2026-02-05 13:15:00;69367.125;69408.8203125;69173.1640625;69181.7578125;33357824
2026-02-05 13:30:00;69151.953125;69486.1875;69151.953125;69330.359375;1759477760
2026-02-05 13:45:00;69308.1875;69590.15625;69264.6953125;69458.4296875;1023082496
2026-02-05 14:00:00;69555.3671875;70050.890625;69555.3671875;69734.3359375;189079552
2026-02-05 14:15:00;69618.671875;69986.046875;69453.9609375;69986.046875;809926656
2026-02-05 14:30:00;69995.1484375;70626.5546875;69995.1484375;70406.171875;1563607040
2026-02-05 14:45:00;70390.6640625;70511.828125;69334.984375;69347.7890625;2310496256
2026-02-05 15:00:00;69328.6484375;69328.6484375;68005.703125;68094.4375;870735872
2026-02-05 15:15:00;67897.84375;68465.8203125;66959.8671875;66987.1484375;3450445824
2026-02-05 15:30:00;66723.3984375;67550.0703125;66666.5625;67412.953125;2075721728
2026-02-05 15:45:00;67375.5703125;68050.4765625;66953.796875;67298.3125;1676353536
2026-02-05 16:00:00;67372.921875;67579.4921875;66843.46875;66914.7265625;1987067904
2026-02-05 16:15:00;66971.7578125;68077.5625;66971.7578125;68077.5625;2671968256
2026-02-05 16:30:00;68007.6640625;68198.34375;67717.9453125;67769.171875;872202240
2026-02-05 16:45:00;67727.7734375;68465.875;67523.421875;68121.9765625;2024284160
2026-02-05 17:00:00;68169.625;68169.625;67129.390625;67195.03125;2086387712
2026-02-05 17:15:00;67038.4296875;67453.7109375;66438.671875;67186.4453125;2299535360
2026-02-05 17:30:00;67303.7890625;67303.7890625;66512.9609375;66961.078125;2086813696
2026-02-05 17:45:00;66974.0546875;67121.3125;66066.1328125;66066.1328125;374628352
2026-02-05 18:00:00;66050.9453125;66354.328125;66050.9453125;66252.703125;1902247936
2026-02-05 18:15:00;66315.484375;66316.4375;65390.703125;65500.3359375;1032429568
2026-02-05 18:30:00;65658.2109375;65742.9375;65420.94140625;65619.4296875;0
2026-02-05 18:45:00;65653.03125;66248.5234375;65321.4375;66248.5234375;3976716288
2026-02-05 19:00:00;66223.2109375;66275.0625;65936.7578125;66107.0703125;606683136
2026-02-05 19:15:00;66191.6484375;66408.4765625;65552.4375;65649.9609375;2088468480
2026-02-05 19:30:00;65667.8828125;65968.484375;65607.9921875;65668.4140625;1394860032
2026-02-05 19:45:00;65667.9140625;65706.4921875;65099.53515625;65136.609375;610631680
